-1,58668492167  -0,604183468147
9,02336622628  -0,596145550611
30,2434685222  -0,580069715538
40,8535196701  -0,572031798002
57,8296015068  -0,559171129944
72,6793862246  0,664199919085
98,1435089797  0,683490921172
127,847365305  1,91811505475
144,814873363  4,35521165177
163,912965429  4,36967990333
172,401006347  4,37611023736
189,359940627  9,23744276333
210,571469144  11,6777545274
240,262464801  16,5487325544
250,86394217  18,9810064009
267,831450228  21,4181029979
286,916681626  25,0689251429
301,757892565  28,7165321209
318,725400623  31,1536287179
348,407822501  38,4488426738
378,060236154  54,2288823812
399,250330224  62,7297839676
428,907030766  77,2977057104
460,67288087  95,5035889302
490,321007633  112,495746602
503,023060785  120,990217854
519,956273729  133,124258167
536,90234734  141,621944587
551,717836943  152,542259351
570,785920784  161,041553354
583,487973936  169,536024607
594,076590637  175,604652347
604,660920449  182,885398051
606,778643789  184,099123599
611,022664248  184,102338766
632,238479655  185,330532566
664,06005932  187,778882247
700,125659444  190,230447096
740,430993138  193,897345076
778,614316603  197,562635472
821,041660527  201,231141036
863,46900445  204,8996466
899,530317685  208,563329413
950,445702527  212,23826531
971,665804823  212,254341145
999,243364029  214,69947566
1031,06494369  217,147825341
1073,49657451  219,604212941
1096,83440014  220,834014324
1143,50576453  224,505735054
1177,45364131  225,743574355
1209,27522098  228,191924036
1249,58912845  229,434586087
1294,14276949  231,89258127
1323,84662582  233,127205404
1362,03852306  234,368259871
1389,62036915  235,601276421
1408,71417433  236,827862637
1427,8122664  236,842330889
1429,93427663  236,843938472
1434,16972331  239,271389568
1446,88035024  245,341624892
1487,13852815  262,341820481
1535,86331253  285,409036227
1582,46608669  308,474644389
1626,9511375  330,326527003
1682,02051812  359,459155322
1715,89980468  380,090882054
1743,4302081  395,869314178
1777,30949466  416,50104091
1804,8313243  434,703708963
1845,04234643  465,037202162
1868,3244425  482,024537083
1914,86720021  522,059796748
1929,65696847  540,2528193
1944,45959741  554,809487958
1959,25365256  571,790392545
